LOCALIDADE;CEP INICIAL
SERRA DOURADA;47740000
SERRA PRETA;44660000
SERRINHA;48700000
SERROLÂNDIA;44710000
SIMÕES FILHO;43700000
SÍTIO DO MATO;47610000
SÍTIO DO QUINTO;48565000
SOBRADINHO;48925000
SOUTO SOARES;46990000
TABOCAS DO BREJO VELHO;47760000
TANHAÇU;46600000
TANQUE NOVO;46580000
TANQUINHO;44160000
TAPEROÁ;45430000
TAPIRAMUTÁ;44840000
TEIXEIRA DE FREITAS;45985001
TEODORO SAMPAIO;44280000
TEOFILÂNDIA;48770000
TEOLÂNDIA;45465000
TERRA NOVA;44270000
TREMEDAL;45170000
TUCANO;48790000
UAUÁ;48950000
UBAÍRA;45310000
UBAITABA;45545000
UBATÃ;45550000
UIBAÍ;44950000
UMBURANAS;44798000
UNA;45690000
URANDI;46350000
URUÇUCA;45680000
UTINGA;46810000
VALENÇA;45400000
VALENTE;48890000
VÁRZEA DA ROÇA;44635000
VÁRZEA DO POÇO;44715000
VÁRZEA NOVA;44690000
VARZEDO;44565000
VERA CRUZ;44470000
VEREDA;45955000
VITÓRIA DA CONQUISTA;45000001
WAGNER;46970000
WANDERLEY;47940000
WENCESLAU GUIMARÃES;45460000
XIQUEXIQUE;47400000
ABAIARA;63240000
ACARAPE;62785000
ACARAÚ;62580000
ACOPIARA;63560000
AIUABA;63575000
ALCÂNTARAS;62120000
ALTANEIRA;63195000
ALTO SANTO;62970000
AMONTADA;62540000
ANTONINA DO NORTE;63570000
APUIARÉS;62630000
AQUIRAZ;61700000
ARACATI;62800000
ARACOIABA;62750000
ARARENDÁ;62210000
ARARIPE;63170000
ARATUBA;62762000
ARNEIROZ;63670000
ASSARÉ;63140000
AURORA;63360000
BAIXIO;63320000
BANABUIÚ;63960000
BARBALHA;63180000
BARREIRA;62795000
BARRO;63380000
BARROQUINHA;62410000
BATURITÉ;62760000
BEBERIBE;62840000
BELA CRUZ;62570000
BOA VIAGEM;63870000
BREJO SANTO;63260000
CAMOCIM;62400000
CAMPOS SALES;63150000
CANINDÉ;62700000
CAPISTRANO;62748000
CARIDADE;62730000
CARIRÉ;62184000
CARIRIAÇU;63220000
CARIÚS;63530000
CARNAUBAL;62375000
CASCAVEL;62850000
CATARINA;63595000
CATUNDA;62297000
CAUCAIA;61600001
CEDRO;63400000
CHAVAL;62420000
CHORÓ;63950000
CHOROZINHO;62875000
COREAÚ;62160000
CRATEÚS;63700000
CRATO;63100001
CROATÁ;62390000
CRUZ;62595000
DEPUTADO IRAPUAN PINHEIRO;63645000
ERERÊ;63470000
EUSÉBIO;61760000
FARIAS BRITO;63185000
FORQUILHA;62115000
FORTALEZA;60000001
FORTIM;62815000
FRECHEIRINHA;62340000
GENERAL SAMPAIO;62738000
GRAÇA;62365000
GRANJA;62430000
GRANJEIRO;63230000
GROAIRAS;62190000
GUAIÚBA;61890000
GUARACIABA DO NORTE;62380000
GUARAMIRANGA;62766000
HIDROLÂNDIA;62270000
HORIZONTE;62880001
IBARETAMA;63970000
IBIAPINA;62360000
IBICUITINGA;62955000
ICAPUÍ;62810000
ICÓ;63430000
IGUATU;63500001
INDEPENDÊNCIA;63640000
IPAPORANGA;62215000
IPAUMIRIM;63340000
IPU;62250000
IPUEIRAS;62230000
IRACEMA;62980000
IRAUÇUBA;62620000
ITAIÇABA;62820000
ITAITINGA;61880000
ITAPAJÉ;62600000
ITAPIPOCA;62500000
ITAPIÚNA;62740000
ITAREMA;62590000
ITATIRA;62720000
JAGUARETAMA;63480000
JAGUARIBARA;63490000
JAGUARIBE;63475000
JAGUARUANA;62823000
JARDIM;63290000
JATI;63275000
JIJOCA DE JERICOACOARA;62598000
JUAZEIRO DO NORTE;63000001
JUCÁS;63580000
LAVRAS DA MANGABEIRA;63300000
LIMOEIRO DO NORTE;62930000
MADALENA;63860000
MARACANAÚ;61900001
MARANGUAPE;61940001
MARCO;62560000
MARTINÓPOLE;62450000
MASSAPÊ;62140000
MAURITI;63210000
MERUOCA;62130000
MILAGRES;63250000
MILHÃ;63635000
MIRAÍMA;62530000
MISSÃO VELHA;63200000
MOMBAÇA;63610000
MONSENHOR TABOSA;63780000
MORADA NOVA;62940000
MORAÚJO;62480000
MORRINHOS;62550000
MUCAMBO;62170000
MULUNGU;62764000
NOVA OLINDA;63165000
NOVA RUSSAS;62200000
NOVO ORIENTE;63740000
OCARA;62755000
ORÓS;63520000
PACAJUS;62870000
PACATUBA;61800000
PACOTI;62770000
PACUJÁ;62180000
PALHANO;62910000
PALMÁCIA;62780000
PARACURU;62680000
PARAIPABA;62685000
PARAMBU;63680000
PARAMOTI;62736000
PEDRA BRANCA;63630000
PENAFORTE;63280000
PENTECOSTE;62640000
PEREIRO;63460000
PINDORETAMA;62860000
PIQUET CARNEIRO;63605000
PIRES FERREIRA;62255000
PORANGA;62220000
PORTEIRAS;63270000
POTENGI;63160000
POTIRETAMA;62990000
QUITERIANÓPOLIS;63650000
QUIXADÁ;63900001
QUIXELÔ;63515000
QUIXERAMOBIM;63800000
QUIXERÉ;62920000
REDENÇÃO;62790000
RERIUTABA;62260000
RUSSAS;62900000
SABOEIRO;63590000
SALITRE;63155000
SANTA QUITÉRIA;62280000
SANTANA DO ACARAÚ;62150000
SANTANA DO CARIRI;63190000
SÃO BENEDITO;62370000
SÃO GONÇALO DO AMARANTE;62670000
SÃO JOÃO DO JAGUARIBE;62965000
SÃO LUÍS DO CURU;62665000
SENADOR POMPEU;63600000
SENADOR SÁ;62470000
SOBRAL;62000001
SOLONÓPOLE;63620000
TABULEIRO DO NORTE;62960000
TAMBORIL;63750000
TARRAFAS;63145000
TAUÁ;63660000
TEJUÇUOCA;62610000
TIANGUÁ;62320000
TRAIRI;62690000
TURURU;62655000
UBAJARA;62350000
UMARI;63310000
UMIRIM;62660000
URUBURETAMA;62650000
URUOCA;62460000
VARJOTA;62265000
VÁRZEA ALEGRE;63540000
VIÇOSA DO CEARÁ;62300000
BRASÍLIA;70000001
BRASÍLIA;73000001
AFONSO CLÁUDIO;29600000
ÁGUA DOCE DO NORTE;29820000
ÁGUIA BRANCA;29795000
ALEGRE;29500000
ALFREDO CHAVES;29240000
ALTO RIO NOVO;29760000
ANCHIETA;29230000
APIACÁ;29450000
ARACRUZ;29190001
ATÍLIO VIVÁCQUA;29490000
BAIXO GUANDU;29730000
BARRA DE SÃO FRANCISCO;29800000
BOA ESPERANÇA;29845000
BOM JESUS DO NORTE;29460000
BREJETUBA;29630000
CACHOEIRO DE ITAPEMIRIM;29300001
CARIACICA;29140001
CASTELO;29360000
COLATINA;29700001
CONCEIÇÃO DA BARRA;29960000
CONCEIÇÃO DO CASTELO;29370000
DIVINO DE SÃO LOURENÇO;29590000
DOMINGOS MARTINS;29260000
DORES DO RIO PRETO;29580000
ECOPORANGA;29850000
FUNDÃO;29185000
GOVERNADOR LINDENBERG;29720000
GUAÇUÍ;29560000
GUARAPARI;29200001
IBATIBA;29395000
IBIRAÇU;29670000
IBITIRAMA;29540000
ICONHA;29280000
IRUPI;29398000
